Name of Satellite,Country of Operator/Owner,Users,Contractor,Purpose,Class of Orbit
Dove 4s-30 (0 Flock 4s-30 2459),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-31 (0 Flock 4s-31 241B) ,USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-33 (0 Flock 4s-33 2420),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-34 (0 Flock 4s-34 2464),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-35 (0 Flock 4s-35 242A),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-36 (0 Flock 4s-36 241D),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-37 (0 Flock 4s-37 2429) ,USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-39 (0 Flock 4s-39 2458),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-4 (0 Flock 4s-4 242B),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-41 (0 Flock 4s-41 2427),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-42 (0 Flock 4s-42 2430),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-43 (0 Flock 4s-43 2435),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-44 (0 Flock 4s-44 2440),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-45 (0 Flock 4s-45 2442),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-46 (0 Flock 4s-46 2444),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-47 (0 Flock 4s-47 2456),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-48 (0 Flock 4s-48 2465),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-5 (0 Flock 4s-5 2423),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-6 (0 Flock 4s-6 2455),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-7 (0 Flock 4s-7 2451),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-8 (0 Flock 4s-8 2450),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4s-9 (0 Flock 4s-9 2447),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-1 (0 Flock 4v-1 227C),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-10 (0 Flock 4v-10 2254),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-11 (0 Flock 4v-11 2424),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-13 (0 Flock 4v-13 241C),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-14 (0 Flock 4v-14 227A),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-15 (0 Flock 4v15 2402),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-16 (0 Flock 4v16 2403),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-17 (0 Flock 4v17 2426),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-18 (0 Flock 4v18 2413),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-19 (0 Flock 4v19 2414),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-20 (0 Flock 4v20 2406),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-22 (0 Flock 4v22 240a),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-23 (0 Flock 4v23 2401),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-24 (0 Flock 4v24 2405),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-25 (0 Flock 4v25 240C),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-26 (0 Flock 4v26 2407),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-4 (0 Flock 4v-4 2274),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-5 (0 Flock 4v-5 240F),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-6 (0 Flock 4v-6 225B),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-7 (0 Flock 4v-7 227B),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4v-8 (0 Flock 4v-8 2416),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-1 (0 Flock 4x-1 2473),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-10 (0 Flock 4x-10 249a),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-11 (0 Flock 4x-11 249b),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-12 (0 Flock 4x-12 2498),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-13 (0 Flock 4x-13 249c),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-14 (0 Flock 4x-14 2489),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-15 (0 Flock 4x-15 2492),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-16 (0 Flock 4x-16 2484),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-17 (0 Flock 4x-17 247a),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-18 (0 Flock 4x-18 249d),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-19 (0 Flock 4x-19 247e),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-2 (0 Flock 4x-2 2477),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-20 (0 Flock 4x-20 2495),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-21 (0 Flock 4x-21 2485),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-22 (0 Flock 4x-22 2479),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-24 (0 Flock 4x-24 248b),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-25 (0 Flock 4x-25 24a3),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-26 (0 Flock 4x-26 2490),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-28 (0 Flock 4x-28 24a5),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-29 (0 Flock 4x-29 247f),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-3 (0 Flock 4x-3 2482),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-30 (0 Flock 4x-30 24a4),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-31 (0 Flock 4x-31 2499),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-32 (0 Flock 4x-32 249e),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-34 (0 Flock 4x-34 247d),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-35 (0 Flock 4x-35 2461),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-36 (0 Flock 4x-36 2446),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-37 (0 Flock 4x-37 2481),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-38 (0 Flock 4x-38 248f),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-39 (0 Flock 4x-39 2475),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-4 (0 Flock 4x-4 2483),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-40 (0 Flock 4x-40 248e),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-41 (0 Flock 4x-41 2488),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-42 (0 Flock 4x-42 2480),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-43 (0 Flock 4x-43 2486),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-44 (0 Flock 4x-44 247b),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-5 (0 Flock 4x-5 247c),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-6 (0 Flock 4x-6 2470),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-7 (0 Flock 4x-7 2478),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-8 (0 Flock 4x-8 2438),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4x-9 (0 Flock 4x-9 248c),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-1 (0 Flock 4-y1 2415),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-10 (0 Flock 4y10 24c3),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-11 (0 Flock 4y-11 24a7),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-12 (0 Flock 4y-12 24cf) ,USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-13 (0 Flock 4y-13 24c7),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-14 (0 Flock 4y14 24b3),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-15 (0 Flock 4y-15 24b3),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-16 (0 Flock 4y-16 24c9),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-17 (0 Flock 4y17 24c2),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-18 (0 Flock 4y18 24ce),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-19 (0 Flock 4y19 24a9),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-2 (0 Flock 4y-2 24a1),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-20 (0 Flock 4y-20 24ca),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-21 (0 Flock 4y-21 24ba),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-22 (0 Flock 4y22 24c1),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-23 (0 Flock 4y-23 24bc),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-24 (0 Flock 4y24 24b9),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-25 (0 Flock 4y25 24b2),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-26 (0  Flock 4y-26 24c4),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-27 (0 Flock 4y-27 24c8),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-28 (0 Flock 4y28 24b1),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-29 (0 Flock 4y29 24bb),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-3 (0 Flock 4y-3 242e),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-30 (0 Flock 4y30 24C0),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-31 (0 Flock 4y-31 24be),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-32 (0 Flock 4y32 24b6),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-33 (0 Flock 4y-33 24bf),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-34 (0 Flock 4y-34 24cc),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-35 (0 Flock 4y-35 24c5),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-36 (0 Flock 4y-36 24d0),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-4 (0 Flock 4y-4 24b0),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-5 (0 Flock 4y5 24b4),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-6 (0 Flock 4y-6 24af),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-7 (0 Flock 4y7 2417),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-8 (0 Flock 4y-8 24ab),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
Dove 4y-9 (0 Flock 4y-9 24a8),USA,Commercial,"Planet Labs, Inc.",Earth Observation,LEO
"DQ-1 (Daqi-1, Daqi Huanjing Jiance Weixing DQ-1)",China,Government,China Academy of Space Technology (CAST),Earth Science,LEO
DRUMS (Debris Removal Unprecedented Micro-Satellite),Japan,Commercial,Kawasaki Heavy Industries,Technology Demonstration,LEO
DS-EO,Singapore,Military,Satrec Initiative,Earth Observation,LEO
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,Military,Lockheed Martin Missiles & Space,Communications,GEO
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA,Military,Lockheed Martin Missiles & Space,Communications,GEO
"DSCS III-F10 (USA 135, DSCS III B-USA 13) (Defense Satellite Communications System)",USA,Military,Lockheed Martin Missiles & Space,Communications,GEO
"DSCS III-F12 (USA 153, DSCS III B-USA  (Defense Satellite Communications System)",USA,Military,Lockheed Martin Missiles & Space,Communications,GEO
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,Military,Lockheed Martin Missiles & Space,Communications,GEO
"DSCS III-FUSA 11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,Military,Lockheed Martin Missiles & Space,Communications,GEO
DSP 20 (USA 149) (Defense Support Program),USA,Military,TRW and Aerojet Electronics Systems,Earth Observation,GEO
DSP 21 (USA 159) (Defense Support Program),USA,Military,TRW and Aerojet Electronics Systems,Earth Observation,GEO
DSP 22 (USA 176) (Defense Support Program),USA,Military,TRW and Aerojet Electronics Systems,Earth Observation,GEO
DSX (Demonstration and Science Experiments),USA,Military,Air Force Research Laboratory,Technology Development,MEO
DubaiSat-2,United Arab Emirates,Government,Satrec Initiative,Earth Observation,LEO
Duogongneng Shiyan Weixing ,China,Military,Academy of Military Science,Technology Development,LEO
E-Space 1,USA,Commercial,ESPACE,Technology Development,LEO
E-Space 2,USA,Commercial,ESPACE,Technology Development,LEO
E-Space 3,USA,Commercial,ESPACE,Technology Development,LEO
"Eagle-1 (AMC-3, Americom 3, GE-3)",USA,Commercial,Lockheed Commercial Space Systems,Communications,GEO
Eaglet-1,Italy,Commercial,OHB Italia,Earth Observation,LEO
Echostar 10,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 11,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 14,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 15,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 16,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 17,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 18,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 19,USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 21 (TerreStar 2),USA,Commercial,Space Systems/Loral,Communications,GEO
Echostar 23,USA,Commercial,Lockheed Martin Missiles & Space,Communications,GEO
Echostar 7 ,USA,Commercial,Space Systems/Loral,Communications,GEO
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,Commercial,Space Systems/Loral,Communications,GEO
"Echostar G1 (ICO G1, DBSD G1)",USA,Commercial,Space Systems/Loral,Communications,GEO
Ecuador-UTE,Ecuador,Civil,Ecuador Technical University,Technology Development,LEO
EDRS-C (European Data Relay System-C),ESA,Commercial,OHB Germany,Communications,GEO
EgyptSat-A ,Egypt,Government,RKK Energia,Earth Observation,LEO
"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",Russia,Military,RKK Energia,Earth Observation,Elliptical
"EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L)",Russia,Military,RKK Energia,Earth Observation,Elliptical
"EKS-3 (Integrated Space System, Cosmos 2541, Tundra 13L) ",Russia,Military,RKK Energia,Earth Observation,Elliptical
"EKS-4 (Integrated Space System, Cosmos 2546, Tundra 14L)",Russia,Military,RKK Energia,Earth Observation,Elliptical
"EKS-5 (Integrated Space System, Cosmos 2552, Tunda 15L)",Russia,Military,RKK Energia,Earth Observation,Elliptical
El Camino Real (Momentus X1),USA,Commercial,Momentus,Technology Development,LEO
Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2]),Russia,Government,Lavochkin,Earth Observation,GEO
Electro-L2 ,Russia,Government,Lavochkin,Earth Observation,GEO
Electro-L3,Russia,Government,Lavochkin,Earth Observation,GEO
Electro-L4,Russia,Government,Lavochkin,Earth Observation,GEO
ELFIN-Star,USA,Commercial/Civil,University of California,Space Science,LEO
ELISA-E12 (ELectronic Intelligence by SAtellite),France,Military,Astrium/Thales Alenia Space,Earth Observation,LEO
ELISA-E24 (ELectronic Intelligence by SAtellite),France,Military,Astrium/Thales Alenia Space,Earth Observation,LEO
ELISA-W11 (ELectronic Intelligence by SAtellite),France,Military,Astrium/Thales Alenia Space,Earth Observation,LEO
ELISA-W23 (ELectronic Intelligence by SAtellite),France,Military,Astrium/Thales Alenia Space,Earth Observation,LEO
ELO-3 (Eutelsat LEO for Objects-3),France,Commercial,Clyde Space Ltd./EUTELSAT,Technology Demonstration,LEO
ELSA-d (End-of-Life Service by Astroscale) (demonstration),Singapore,Commercial,Astroscale/Surrey Satellite Technology Ltd.,Technology Development,LEO
EMISat (Electromagnetic Intelligence-gathering Satellite),India,Military,Indian Space Research Organization (ISRO),Earth Observation,LEO
EnMAP (Environmental Mapping and Analysis Program),Germany,Government,OHB System-AG,Earth Observation,LEO
EOS Sat-1 (EOS Agrisat-1),USA,Commercial,Dragonfly Aerospace,Earth Observation,LEO
"EOS-1 (Earth Observing Satellite 1, RISAT 2BR2)",India,Military,Indian Space Research Organization (ISRO),Earth Observation,LEO
"EOS-4 (Earth Observing Satellite 1A, RISAT 1A)",India,Government,ISRO Satellite Center,Earth Observation,LEO
EOS-7 (Earth Observing Satellite 7),India,Government,ISRO Satellite Center,Technology Demonstration,LEO
EOS-AM Terra ,USA/Canada/Japan,Government,Lockheed Martin,Earth Observation,LEO
EOS-CHEM Aura ,USA,Government,TRW,Earth Observation,LEO
"EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1)",USA/Japan/Brazil,Government,NASA/Jet Propulsion Laboratory/Japan Aerospace Exploration Agency/Equatorial Systems (Brazil),Earth Observation,LEO
ERA-1 (Cosmos 2548),Russia,Military,Unknown,Technology Development,LEO
"ERG (Exploration of Energization and Radiation in Geospace, Arase)",Japan,Government,Japan Aerospace Exploration Agency (JAXA),Space Science,Elliptical
EROS B1 (Earth Resources Observation Satellite),Israel,Military/Commercial,Israel Aircraft Industries (IAI),Earth Observation,LEO
Es'hail-1,Multinational,Commercial,Space Systems/Loral,Communications,GEO
Es'hail-2,France,Military/Commercial,Mitsubishi Electric,Communications,GEO
ESAIL Maritime Microsatellite,ESA,Government,LuxSpace,Earth Observation,LEO
ESEO (European Student Earth Orbiter),ESA,Civil,Carlo Gavazzi Space (CGS) working with network of universities,Earth Observation/Earth Science,LEO
ESPASat ( 286) ,USA,Military,Air Force Research Laboratory,Technology Development,GEO
ET-SMART-RSS (Zhixing-1A),Ethiopia,Government,Beijing Zhixing Space Technology Co. Ltd,Earth Observation,LEO
ETRSS-1,Ethiopia,Government,China Academy of Space Technology (CAST),Earth Observation,LEO
Eu:CROPIS (Euglena and Combined Regenerative Organic-Food Production in Space),Germany,Government,German Aerospace Center (DLR),Technology Development,LEO
Eutelsat 10A (Eutelsat W-2A),Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat 113 West A (Satmex 6),Multinational,Commercial,Space Systems/Loral,Communications,GEO
Eutelsat 115 West B,Multinational,Commercial,Boeing Defense and Space,Communications,GEO
"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",Multinational,Commercial,Space Systems/Loral,Communications,GEO
Eutelsat 117 West B (Satmex 9),Multinational,Commercial,Boeing Satellite Systems,Communications,GEO
"Eutelsat 133 West A (Eutelsat 33C, Eutelsat 28A, Eurobird 1, Eurosat 1)",Multinational,Commercial,Alcatel Space Industries,Communications,GEO
Eutelsat 139 West A (Eutelsat 139W) ,Multinational,Commercial,Astrium,Communications,GEO
Eutelsat 16A (Eutelsat W3C),Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat 172B,Multinational,Commercial,Airbus Defense and Space,Communications,GEO
"Eutelsat 174A (GE-23, AMC-23, Worldsat 3, Americom 23)",Multinational,Commercial,Alcatel Alenia Space,Communications,GEO
"Eutelsat 21B (Eutelsat 48B, Eutelsat W-6A)",Multinational,Commercial,Thales Alenia Space,Communications,GEO
"Eutelsat 33E (Hot Bird 13D, Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",Multinational,Commercial,EADS Astrium,Communications,GEO
"Eutelsat 36A (Eutelsat 48E, Eutelsat W-4) ",Multinational,Commercial,Alcatel Space Industries,Communications,GEO
Eutelsat 36B (Eutelsat W-7),Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat 3B,Multinational,Commercial,Airbus Defense and Space,Communications,GEO
"Eutelsat 5 West A (Atlantic Bird 3, Stellat 5)",Multinational,Commercial,Alcatel Space Industries,Communications,GEO
Eutelsat 5 West B,Multinational,Commercial,Northrup Grumman Innovation Systems,Communications,GEO
Eutelsat 65 West A,Multinational,Commercial,Space Systems/Loral,Communications,GEO
Eutelsat 7 West A (Atlantic Bird 7),Multinational,Commercial,Astrium,Communications,GEO
Eutelsat 70B (Eutelsat W5A),Multinational,Commercial,EADS Astrium,Communications,GEO
Eutelsat 7B ,Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat 7C,Multinational,Commercial,Maxar Technologies,Communications,GEO
Eutelsat 8 West B,Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat 9B (Hot Bird 13E),Multinational,Commercial,Airbus Defense and Space,Communications,GEO
Eutelsat Hot Bird 13B (Hot Bird 8),Multinational,Commercial,EADS Space,Communications,GEO
Eutelsat Hot Bird 13C (Hot Bird 9),Multinational,Commercial,EADS Astrium,Communications,GEO
"Eutelsat Hot Bird 13E (Eutelsat 9A, Eurobird 9A, Hot Bird 7A)",Multinational,Commercial,Alcatel Alenia Space,Communications,GEO
Eutelsat Hotbird 13F,Multinational,Commercial,Airbus Defence and Space,Communications,GEO
Eutelsat Hotbird 13G,Multinational,Commercial,Airbus Defence and Space,Communications,GEO
Eutelsat KA-SAT 9A (KA-SAT),Multinational,Commercial,EADS Astrium,Communications,GEO
Eutelsat Konnect,Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat Konnect VHTS (Very High Throughput Satellite),Multinational,Commercial,Thales Alenia Space,Communications,GEO
Eutelsat Quantum,Multinational,Commercial,Airbus,Communications,GEO
exactView 6 (AprizeSat 6),Canada,Commercial,SpaceQuest,Communications,LEO
exactView 9,Canada,Commercial,Space Flight Laboratory (SFL),Communications,LEO
eXCITE (eXperiment for Cellular Integration Technology),USA,Military,NovaWurks,Technology Development,LEO
ExoCube-2,USA,Government/Civil,California Polytechnic Institute,Space Science,LEO
Express-103,Russia,Commercial,ISS Reshetnev/Thales Alenia Space,Communications,GEO
Express-80,Russia,Commercial,ISS Reshetnev/Thales Alenia Space,Communications,GEO
Express-AM3,Russia,Commercial,NPO-PM/Alcatel,Communications,GEO
